fips,year,month,tmin,tmax,tavg,prec
21119,2019,11,-0.614158741601235,12.0977309976006,5.74178612799969,2.3625883787037
21119,2019,12,0.371346162175627,11.1652393775388,5.76829276985723,4.60907808494624
21121,2019,01,-2.52969425820339,6.99896068175014,2.23463321177337,3.52492793404593
21121,2019,02,0.603325497974818,11.8630132318402,6.23316936490751,9.25203800690073
21121,2019,03,0.0797107717553855,13.1561956429295,6.61795320734243,2.30180851295243
21121,2019,04,6.7733887569661,21.3654303135593,14.0694095352627,3.78644196805085
21121,2019,05,13.6373060202296,26.4895702460361,20.0634381331329,4.00348443898305
21121,2019,06,15.9470091225989,27.6826683220339,21.8148387223164,7.22803576560452
21121,2019,07,18.8811183378896,30.1954255057408,24.5382719218152,4.90211920125752
21121,2019,08,17.645724434117,29.9753093275014,23.8105168808092,2.45869588190268
21121,2019,09,15.4333756694915,30.5909746553672,23.0121751624294,0.287224340282486
21121,2019,10,8.46504226096227,22.6160462493166,15.5405442551394,4.6061322397485
21121,2019,11,-1.20099054044051,12.3171148032486,5.55806213140404,3.78487781958757
21121,2019,12,0.116761614677419,11.7980118102788,5.95738671247813,6.13464249348825
21123,2019,01,-2.38234156317823,7.00264733854839,2.31015288768508,2.81910168379032
21123,2019,02,0.403476228927679,11.4088964616071,5.90618634526741,7.20676717285714
21123,2019,03,0.385702249512903,12.6800037198226,6.53285298466774,2.24684269580645
21123,2019,04,8.22117974195,21.64982828,14.935504010975,4.27728135775
21123,2019,05,14.973619116129,26.4049242258065,20.6892716709677,2.98318986
21123,2019,06,17.3763294708333,28.508461325,22.9423953979167,6.9195731865
21123,2019,07,20.0580570887097,31.4936200967742,25.7758385927419,2.14235961674194
21123,2019,08,18.6143298629032,31.0617491532258,24.8380395080645,2.31246115733871
21123,2019,09,17.055216925,31.7223120083333,24.3887644666667,0.274764402333333
21123,2019,10,9.10782474919355,22.8852526451613,15.9965386971774,5.35036049330645
21123,2019,11,-0.402683272568333,11.930730515,5.76402362121583,3.78373097133333
21123,2019,12,0.825898122414516,11.3323436330645,6.07912087773952,4.4478605558871
21125,2019,01,-2.55641055831686,6.87922733771481,2.16140838969898,2.73143839769196
21125,2019,02,0.48202651134004,11.7561355337022,6.11908102252113,7.48794050779175
21125,2019,03,0.22320892651522,12.7840601678328,6.50363454717401,1.54260101527488
21125,2019,04,7.24220179946948,21.4557021126761,14.3489519560728,2.92095575398122
21125,2019,05,13.974851920945,26.1363653021354,20.0556086115402,3.02440625454793
21125,2019,06,16.3608688896714,27.5416501173709,21.9512595035211,6.46856982900469
21125,2019,07,19.0877332348932,30.2402282871422,24.6639807610177,3.5631162841572
21125,2019,08,17.7932820717856,30.00223864607,23.8977603589278,1.75866008762381
21125,2019,09,15.8389165117371,30.6962375258216,23.2675770187793,0.162438216962441
21125,2019,10,8.55438563621081,22.4907596138119,15.5225726250114,4.05664862144934
21125,2019,11,-0.865156602585446,12.1413116083568,5.63807750288568,3.08982751623474
21125,2019,12,0.35193563595184,11.4950346169923,5.92348512647206,4.96035195423444
21127,2019,01,-4.03076146699562,6.30382453394507,1.13653153347472,3.26481642933945
21127,2019,02,-1.47644888278084,11.1458801725785,4.83471564489885,5.47854450267849
21127,2019,03,-1.70668749898333,12.7765971461891,5.5349548236029,2.32252559456944
21127,2019,04,5.8583368210041,21.7605849343938,13.809460877699,2.86704503098863
21127,2019,05,12.835161368304,26.5599954817749,19.6975784250394,4.55123784378652
21127,2019,06,14.9113171659303,27.8140796801345,21.3626984230324,5.49803706003816
21127,2019,07,18.2577239896931,31.3498520133626,24.8037880015278,4.33567203787661
21127,2019,08,16.4189199576198,30.404888908344,23.4119044329819,3.7442004605538
21127,2019,09,14.4364112018731,31.008583650462,22.7224974261675,0.50772522850014
21127,2019,10,7.52921249789845,23.0485789969293,15.2888957474139,4.49675655297226
21127,2019,11,-1.99191712298968,11.825310838715,4.91669685786264,2.71083879579889
21127,2019,12,-1.17423425325124,10.8813459529827,4.85355584986574,4.77666765681758
21129,2019,01,-3.2794965600759,6.53064965958254,1.62557654975332,3.15003431717268
21129,2019,02,-0.63486550252416,10.9887104432773,5.17692247037658,6.0807550077416
21129,2019,03,-0.502656636757344,12.581286653425,6.03931500833385,1.89541362510436
21129,2019,04,6.73282461867647,21.2174018196078,13.9751132191422,2.68006752501961
21129,2019,05,13.560230987666,26.0135810626186,19.7869060251423,2.54851568693548
21129,2019,06,16.0869074764706,27.5572497843137,21.8220786303922,6.40746972813726
21129,2019,07,18.9485173339658,30.373324459203,24.6609208965844,4.15886620417457
21129,2019,08,17.6539466508539,29.7721858254269,23.7130662381404,2.6037706613852
21129,2019,09,15.7575974176471,30.2196934803922,22.9886454490196,0.28182567754902
21129,2019,10,8.38223347343454,22.3903584914611,15.3862959824478,4.3886806195351
